# ================================== Start of File ====================================
# Spatial dimensions = 2
# Kernel size = 11x11
# Polynomial order = 5x5
# Size of the convolution coefficient matrix = 36x121
#
# Column# 1:
#    S/A => The left and the right halves of the row are symmetric(S)/anti-symmetric(A) about the middle column.
#           If symmetric elements on the right half, their signs are same as the corresponding elements on the left side.
#           If anti-symmetric elements, the signs are opposite.
# Column# 2~61 = the left-half columns of the row.
# Column# 62 = the middle column of the row.
# Column# 63~122, which are the right-half columns, are not stored, because they are symmetric/anti-symmetric
#           of the elements in the column# 61~2, respectively.
# Matrix starts:
	A	-5.837694E-05	+5.837694E-05	+5.837694E-05	+9.729490E-06	-3.891796E-05	-5.837694E-05	-3.891796E-05	+9.729490E-06	+5.837694E-05	+5.837694E-05	-5.837694E-05	+2.206709E-04	-2.206709E-04	-2.206709E-04	-3.677849E-05	+1.471140E-04	+2.206709E-04	+1.471140E-04	-3.677849E-05	-2.206709E-04	-2.206709E-04	+2.206709E-04	-1.272475E-04	+1.272475E-04	+1.272475E-04	+2.120791E-05	-8.483164E-05	-1.272475E-04	-8.483164E-05	+2.120791E-05	+1.272475E-04	+1.272475E-04	-1.272475E-04	-3.844931E-04	+3.844931E-04	+3.844931E-04	+6.408219E-05	-2.563288E-04	-3.844931E-04	-2.563288E-04	+6.408219E-05	+3.844931E-04	+3.844931E-04	-3.844931E-04	-3.141963E-04	+3.141963E-04	+3.141963E-04	+5.236605E-05	-2.094642E-04	-3.141963E-04	-2.094642E-04	+5.236605E-05	+3.141963E-04	+3.141963E-04	-3.141963E-04	+0.000000E+00	+0.000000E+00	+0.000000E+00	+0.000000E+00	+0.000000E+00	+0.000000E+00
	S	+1.605366E-05	-3.210732E-05	-5.351219E-06	+2.140488E-05	+2.140488E-05	+0.000000E+00	-2.140488E-05	-2.140488E-05	+5.351219E-06	+3.210732E-05	-1.605366E-05	-6.068451E-05	+1.213690E-04	+2.022817E-05	-8.091268E-05	-8.091268E-05	+0.000000E+00	+8.091268E-05	+8.091268E-05	-2.022817E-05	-1.213690E-04	+6.068451E-05	+3.499305E-05	-6.998610E-05	-1.166435E-05	+4.665740E-05	+4.665740E-05	+0.000000E+00	-4.665740E-05	-4.665740E-05	+1.166435E-05	+6.998610E-05	-3.499305E-05	+1.057356E-04	-2.114712E-04	-3.524520E-05	+1.409808E-04	+1.409808E-04	+0.000000E+00	-1.409808E-04	-1.409808E-04	+3.524520E-05	+2.114712E-04	-1.057356E-04	+8.640398E-05	-1.728080E-04	-2.880133E-05	+1.152053E-04	+1.152053E-04	+0.000000E+00	-1.152053E-04	-1.152053E-04	+2.880133E-05	+1.728080E-04	-8.640398E-05	+0.000000E+00	+0.000000E+00	+0.000000E+00	+0.000000E+00	+0.000000E+00	+0.000000E+00
	S	-1.100298E-03	+2.750746E-03	+6.112768E-04	-3.667661E-03	-7.335322E-03	-8.741259E-03	-7.335322E-03	-3.667661E-03	+6.112768E-04	+2.750746E-03	-1.100298E-03	+2.127243E-03	-5.318108E-03	-1.181802E-03	+7.090811E-03	+1.418162E-02	+1.689977E-02	+1.418162E-02	+7.090811E-03	-1.181802E-03	-5.318108E-03	+2.127243E-03	+1.784928E-03	-4.462321E-03	-9.916269E-04	+5.949761E-03	+1.189952E-02	+1.418026E-02	+1.189952E-02	+5.949761E-03	-9.916269E-04	-4.462321E-03	+1.784928E-03	+1.222554E-05	-3.056384E-05	-6.791965E-06	+4.075179E-05	+8.150358E-05	+9.712510E-05	+8.150358E-05	+4.075179E-05	-6.791965E-06	-3.056384E-05	+1.222554E-05	-1.662673E-03	+4.156682E-03	+9.237072E-04	-5.542243E-03	-1.108449E-02	-1.320901E-02	-1.108449E-02	-5.542243E-03	+9.237072E-04	+4.156682E-03	-1.662673E-03	-2.322852E-03	+5.807130E-03	+1.290473E-03	-7.742840E-03	-1.548568E-02	-1.845377E-02
	A	+8.756541E-04	-3.310064E-03	+1.908712E-03	+5.767397E-03	+4.712944E-03	+0.000000E+00	-4.712944E-03	-5.767397E-03	-1.908712E-03	+3.310064E-03	-8.756541E-04	-1.692931E-03	+6.399457E-03	-3.690176E-03	-1.115030E-02	-9.111693E-03	+0.000000E+00	+9.111693E-03	+1.115030E-02	+3.690176E-03	-6.399457E-03	+1.692931E-03	-1.420505E-03	+5.369659E-03	-3.096355E-03	-9.355999E-03	-7.645443E-03	+0.000000E+00	+7.645443E-03	+9.355999E-03	+3.096355E-03	-5.369659E-03	+1.420505E-03	-9.729490E-06	+3.677849E-05	-2.120791E-05	-6.408219E-05	-5.236605E-05	+0.000000E+00	+5.236605E-05	+6.408219E-05	+2.120791E-05	-3.677849E-05	+9.729490E-06	+1.323211E-03	-5.001875E-03	+2.884276E-03	+8.715178E-03	+7.121783E-03	+0.000000E+00	-7.121783E-03	-8.715178E-03	-2.884276E-03	+5.001875E-03	-1.323211E-03	+1.848603E-03	-6.987913E-03	+4.029503E-03	+1.217562E-02	+9.949549E-03	+0.000000E+00
	S	+6.876864E-04	-1.329527E-03	-1.115580E-03	-7.640960E-06	+1.039171E-03	+1.451782E-03	+1.039171E-03	-7.640960E-06	-1.115580E-03	-1.329527E-03	+6.876864E-04	-1.329527E-03	+2.570419E-03	+2.156788E-03	+1.477252E-05	-2.009063E-03	-2.806779E-03	-2.009063E-03	+1.477252E-05	+2.156788E-03	+2.570419E-03	-1.329527E-03	-1.115580E-03	+2.156788E-03	+1.809719E-03	+1.239534E-05	-1.685766E-03	-2.355114E-03	-1.685766E-03	+1.239534E-05	+1.809719E-03	+2.156788E-03	-1.115580E-03	-7.640960E-06	+1.477252E-05	+1.239534E-05	+8.489956E-08	-1.154634E-05	-1.613092E-05	-1.154634E-05	+8.489956E-08	+1.239534E-05	+1.477252E-05	-7.640960E-06	+1.039171E-03	-2.009063E-03	-1.685766E-03	-1.154634E-05	+1.570302E-03	+2.193805E-03	+1.570302E-03	-1.154634E-05	-1.685766E-03	-2.009063E-03	+1.039171E-03	+1.451782E-03	-2.806779E-03	-2.355114E-03	-1.613092E-05	+2.193805E-03	+3.064874E-03
	A	-2.464210E-04	+7.679165E-04	+2.101264E-05	-6.494816E-04	-6.036359E-04	+0.000000E+00	+6.036359E-04	+6.494816E-04	-2.101264E-05	-7.679165E-04	+2.464210E-04	+4.764139E-04	-1.484639E-03	-4.062444E-05	+1.255664E-03	+1.167029E-03	+0.000000E+00	-1.167029E-03	-1.255664E-03	+4.062444E-05	+1.484639E-03	-4.764139E-04	+3.997496E-04	-1.245731E-03	-3.408717E-05	+1.053604E-03	+9.792315E-04	+0.000000E+00	-9.792315E-04	-1.053604E-03	+3.408717E-05	+1.245731E-03	-3.997496E-04	+2.738011E-06	-8.532406E-06	-2.334738E-07	+7.216463E-06	+6.707065E-06	+0.000000E+00	-6.707065E-06	-7.216463E-06	+2.334738E-07	+8.532406E-06	-2.738011E-06	-3.723695E-04	+1.160407E-03	+3.175244E-05	-9.814389E-04	-9.121609E-04	+0.000000E+00	+9.121609E-04	+9.814389E-04	-3.175244E-05	-1.160407E-03	+3.723695E-04	-5.202221E-04	+1.621157E-03	+4.436002E-05	-1.371128E-03	-1.274342E-03	+0.000000E+00
	S	-4.584576E-05	+4.584576E-05	+4.584576E-05	+7.640960E-06	-3.056384E-05	-4.584576E-05	-3.056384E-05	+7.640960E-06	+4.584576E-05	+4.584576E-05	-4.584576E-05	+8.863514E-05	-8.863514E-05	-8.863514E-05	-1.477252E-05	+5.909009E-05	+8.863514E-05	+5.909009E-05	-1.477252E-05	-8.863514E-05	-8.863514E-05	+8.863514E-05	+7.437201E-05	-7.437201E-05	-7.437201E-05	-1.239534E-05	+4.958134E-05	+7.437201E-05	+4.958134E-05	-1.239534E-05	-7.437201E-05	-7.437201E-05	+7.437201E-05	+5.093974E-07	-5.093974E-07	-5.093974E-07	-8.489956E-08	+3.395982E-07	+5.093974E-07	+3.395982E-07	-8.489956E-08	-5.093974E-07	-5.093974E-07	+5.093974E-07	-6.927804E-05	+6.927804E-05	+6.927804E-05	+1.154634E-05	-4.618536E-05	-6.927804E-05	-4.618536E-05	+1.154634E-05	+6.927804E-05	+6.927804E-05	-6.927804E-05	-9.678550E-05	+9.678550E-05	+9.678550E-05	+1.613092E-05	-6.452367E-05	-9.678550E-05
	A	+1.260758E-05	-2.521517E-05	-4.202528E-06	+1.681011E-05	+1.681011E-05	+0.000000E+00	-1.681011E-05	-1.681011E-05	+4.202528E-06	+2.521517E-05	-1.260758E-05	-2.437466E-05	+4.874933E-05	+8.124888E-06	-3.249955E-05	-3.249955E-05	+0.000000E+00	+3.249955E-05	+3.249955E-05	-8.124888E-06	-4.874933E-05	+2.437466E-05	-2.045230E-05	+4.090461E-05	+6.817435E-06	-2.726974E-05	-2.726974E-05	+0.000000E+00	+2.726974E-05	+2.726974E-05	-6.817435E-06	-4.090461E-05	+2.045230E-05	-1.400843E-07	+2.801685E-07	+4.669476E-08	-1.867790E-07	-1.867790E-07	+0.000000E+00	+1.867790E-07	+1.867790E-07	-4.669476E-08	-2.801685E-07	+1.400843E-07	+1.905146E-05	-3.810292E-05	-6.350487E-06	+2.540195E-05	+2.540195E-05	+0.000000E+00	-2.540195E-05	-2.540195E-05	+6.350487E-06	+3.810292E-05	-1.905146E-05	+2.661601E-05	-5.323202E-05	-8.872004E-06	+3.548802E-05	+3.548802E-05	+0.000000E+00
	A	+3.942736E-04	-9.856839E-04	-2.190409E-04	+1.314245E-03	+2.628490E-03	+3.132284E-03	+2.628490E-03	+1.314245E-03	-2.190409E-04	-9.856839E-04	+3.942736E-04	-1.228666E-03	+3.071666E-03	+6.825925E-04	-4.095555E-03	-8.191110E-03	-9.761072E-03	-8.191110E-03	-4.095555E-03	+6.825925E-04	+3.071666E-03	-1.228666E-03	-3.362023E-05	+8.405056E-05	+1.867790E-05	-1.120674E-04	-2.241348E-04	-2.670940E-04	-2.241348E-04	-1.120674E-04	+1.867790E-05	+8.405056E-05	-3.362023E-05	+1.039171E-03	-2.597927E-03	-5.773170E-04	+3.463902E-03	+6.927804E-03	+8.255633E-03	+6.927804E-03	+3.463902E-03	-5.773170E-04	-2.597927E-03	+1.039171E-03	+9.658174E-04	-2.414543E-03	-5.365652E-04	+3.219391E-03	+6.438783E-03	+7.672883E-03	+6.438783E-03	+3.219391E-03	-5.365652E-04	-2.414543E-03	+9.658174E-04	+0.000000E+00	+0.000000E+00	+0.000000E+00	+0.000000E+00	+0.000000E+00	+0.000000E+00
	S	-3.137760E-04	+1.186106E-03	-6.839551E-04	-2.066651E-03	-1.688805E-03	+0.000000E+00	+1.688805E-03	+2.066651E-03	+6.839551E-04	-1.186106E-03	+3.137760E-04	+9.778137E-04	-3.696238E-03	+2.131395E-03	+6.440260E-03	+5.262788E-03	+0.000000E+00	-5.262788E-03	-6.440260E-03	-2.131395E-03	+3.696238E-03	-9.778137E-04	+2.675610E-05	-1.011408E-04	+5.832175E-05	+1.762260E-04	+1.440066E-04	+0.000000E+00	-1.440066E-04	-1.762260E-04	-5.832175E-05	+1.011408E-04	-2.675610E-05	-8.270066E-04	+3.126172E-03	-1.802672E-03	-5.446986E-03	-4.451114E-03	+0.000000E+00	+4.451114E-03	+5.446986E-03	+1.802672E-03	-3.126172E-03	+8.270066E-04	-7.686297E-04	+2.905501E-03	-1.675425E-03	-5.062493E-03	-4.136918E-03	+0.000000E+00	+4.136918E-03	+5.062493E-03	+1.675425E-03	-2.905501E-03	+7.686297E-04	+0.000000E+00	+0.000000E+00	+0.000000E+00	+0.000000E+00	+0.000000E+00	+0.000000E+00
